source_text,output_text,alt_text,modify_type
Return the name and country corresponding to the artist who has had the most exhibitions.,"select tbl:artist, project tbl:exhibition #1, group #2 #1, superlative #1 #3, project col:artist/Name #4, project col:artist/Country #4, union #5 #6","select col:exhibition, project tbl:artist #1, group #2 #1, superlative #1 #3, project col:artist/Name #4, project col:artist/Country #4, union #5 #6",beam
Return the name and country corresponding to the artist who has had the most exhibitions.,"select tbl:artist, project tbl:exhibition #1, group #2 #1, superlative #1 #3, project col:artist/Name #4, project col:artist/Country #4, union #5 #6","select tbl:artist, project tbl:exhibition #1, group #2 #1, project col:artist/Name #4, superlative #1 #3, project col:artist/Country #4, union #5 #6",order
Return the name and country corresponding to the artist who has had the most exhibitions.,"select tbl:artist, project tbl:exhibition #1, group #2 #1, superlative #1 #3, project col:artist/Name #4, project col:artist/Country #4, union #5 #6","select tbl:artist, project tbl:exhibition #1, group #2 #1, project col:artist/Name #4, superlative #1 #3, project col:artist/Country #4, union #5 #6",greate/less
What is the theme and artist name for the exhibition with a ticket price higher than the average?,"select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project col:exhibition/Theme #4, project tbl:artist #4, project col:artist/Name #6, union #5 #7","select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project col:exhibition/Theme #4, project tbl:artist #4, project col:artist/Name #6",beam
What is the theme and artist name for the exhibition with a ticket price higher than the average?,"select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project col:exhibition/Theme #4, project tbl:artist #4, project col:artist/Name #6, union #5 #7","select tbl:exhibition, project tbl:artist #4, aggregate avg #2, comparative #1 #2 great/#3, project col:exhibition/Theme #4, project col:exhibition/Ticket_Price #1, project col:artist/Name #6, union #5 #7",order
What is the theme and artist name for the exhibition with a ticket price higher than the average?,"select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project col:exhibition/Theme #4, project tbl:artist #4, project col:artist/Name #6, union #5 #7","select tbl:exhibition, project tbl:artist #4, aggregate avg #2, comparative #1 #2  equal#3, project col:exhibition/Theme #4, project col:exhibition/Ticket_Price #1, project col:artist/Name #6, union #5 #7",greate/less
Return the names of artists and the themes of their exhibitions that had a ticket price higher than average.,"select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project tbl:artist #4, project col:exhibition/Theme #5, project col:artist/Name #4, union #6 #7","select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project tbl:artist #4, project col:exhibition/Theme #5, project col:artist/Name #4, union #8 #9",beam
Return the names of artists and the themes of their exhibitions that had a ticket price higher than average.,"select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project tbl:artist #4, project col:exhibition/Theme #5, project col:artist/Name #4, union #6 #7","select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project col:exhibition/Theme #5, project tbl:artist #4, project col:artist/Name #4, union #6 #7",order
Return the names of artists and the themes of their exhibitions that had a ticket price higher than average.,"select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 great/#3, project tbl:artist #4, project col:exhibition/Theme #5, project col:artist/Name #4, union #6 #7","select tbl:exhibition, project col:exhibition/Ticket_Price #1, aggregate avg #2, comparative #1 #2 less/#3, project col:exhibition/Theme #5, project tbl:artist #4, project col:artist/Name #4, union #6 #7",greate/less
"Show the average, minimum, and maximum ticket prices for exhibitions for all years before 2009.","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #7",beam
"Show the average, minimum, and maximum ticket prices for exhibitions for all years before 2009.","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, union #4 #5 #6, aggregate max #3, aggregate min #3",order
"Show the average, minimum, and maximum ticket prices for exhibitions for all years before 2009.","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6","select tbl:exhibition, comparative #1 #1 greatequal/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, union #4 #5 #6, aggregate max #3, aggregate min #3",greate/less
"What are the average, minimum, and maximum ticket prices for exhibitions that happened prior to 2009?","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6","select an exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6",beam
"What are the average, minimum, and maximum ticket prices for exhibitions that happened prior to 2009?","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, aggregate min #3, aggregate avg #3, project col:exhibition/Ticket_Price #2, aggregate max #3, union #4 #5 #6",order
"What are the average, minimum, and maximum ticket prices for exhibitions that happened prior to 2009?","select tbl:exhibition, comparative #1 #1 less/2009 col:exhibition/Year, project col:exhibition/Ticket_Price #2, aggregate avg #3, aggregate min #3, aggregate max #3, union #4 #5 #6","select tbl:exhibition, comparative #1 #1 greatequal/2009 col:exhibition/Year, aggregate min #3, aggregate avg #3, project col:exhibition/Ticket_Price #2, aggregate max #3, union #4 #5 #6",greate/less
Show theme and year for all exhibitions in an descending order of ticket price.,"select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending.",beam
Show theme and year for all exhibitions in an descending order of ticket price.,"select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending","select tbl:exhibition, project col:exhibition/Theme #1, union #2 #3, project col:exhibition/Ticket_Price #1, project col:exhibition/Year #1, sort #5 #4 descending",order
Show theme and year for all exhibitions in an descending order of ticket price.,"select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending","select tbl:exhibition, project col:exhibition/Theme #1, union #2 #3, project col:exhibition/Ticket_Price #1, project col:exhibition/Year #1, sort #5 #4 descending",greate/less
"What are the themes and years for exhibitions, sorted by ticket price descending?","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #6 #4 descending",beam
"What are the themes and years for exhibitions, sorted by ticket price descending?","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Ticket_Price #1, project col:exhibition/Year #1, union #2 #3, sort #5 #4 descending",order
"What are the themes and years for exhibitions, sorted by ticket price descending?","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Year #1, project col:exhibition/Ticket_Price #1, union #2 #3, sort #5 #4 descending","select tbl:exhibition, project col:exhibition/Theme #1, project col:exhibition/Ticket_Price #1, project col:exhibition/Year #1, union #2 #3, sort #5 #4 descending",greate/less
"What is the theme, date, and attendance for the exhibition in year 2004?","select tbl:exhibition, project col:exhibition/Year #1, comparative #1 #2 equal/2004, project col:exhibition/Theme #3, project col:exhibition_record/Date #3, project col:exhibition_record/Attendance #3, union #4 #5 #6","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project col:exhibition/Theme #2, project col:exhibition_record/Date #2, project col:exhibition_record/Attendance #2, union #3 #4 #5",beam
"What is the theme, date, and attendance for the exhibition in year 2004?","select tbl:exhibition, project col:exhibition/Year #1, comparative #1 #2 equal/2004, project col:exhibition/Theme #3, project col:exhibition_record/Date #3, project col:exhibition_record/Attendance #3, union #4 #5 #6","select tbl:exhibition, project col:exhibition_record/Date #3, comparative #1 #2 equal/2004, project col:exhibition/Theme #3, project col:exhibition/Year #1, project col:exhibition_record/Attendance #3, union #4 #5 #6",order
"What is the theme, date, and attendance for the exhibition in year 2004?","select tbl:exhibition, project col:exhibition/Year #1, comparative #1 #2 equal/2004, project col:exhibition/Theme #3, project col:exhibition_record/Date #3, project col:exhibition_record/Attendance #3, union #4 #5 #6","select tbl:exhibition, project col:exhibition_record/Date #3, comparative #1 #2lessequal//2004, project col:exhibition/Theme #3, project col:exhibition/Year #1, project col:exhibition_record/Attendance #3, union #4 #5 #6",greate/less
"Return the themes, dates, and attendance for exhibitions that happened in 2004.","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project col:exhibition/Theme #2, project col:exhibition_record/Date #2, project col:exhibition_record/Attendance #2, union #3 #4 #5","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project col:exhibition/Theme #2, project col:exhibition_record/Date #2, project col:exhibition_record/Venue #2, union #3 #4 #5",beam
"Return the themes, dates, and attendance for exhibitions that happened in 2004.","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project col:exhibition/Theme #2, project col:exhibition_record/Date #2, project col:exhibition_record/Attendance #2, union #3 #4 #5","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, union #3 #4 #5, project col:exhibition_record/Date #2, project col:exhibition_record/Attendance #2, project col:exhibition/Theme #2",order
"Return the themes, dates, and attendance for exhibitions that happened in 2004.","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project col:exhibition/Theme #2, project col:exhibition_record/Date #2, project col:exhibition_record/Attendance #2, union #3 #4 #5","select tbl:exhibition, comparative #1 #1lessequal//2004 col:exhibition/Year, union #3 #4 #5, project col:exhibition_record/Date #2, project col:exhibition_record/Attendance #2, project col:exhibition/Theme #2",greate/less
What are the names of artists who did not have an exhibition in 2004?,"select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project tbl:artist #2, select tbl:artist, discard #4 #3, project col:artist/Name #5","select tbl:exhibition, comparative #1 #1 equal/04 col:exhibition/Year, project tbl:artist #2, select tbl:artist, discard #4 #3, project col:artist/Name #5",beam
What are the names of artists who did not have an exhibition in 2004?,"select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project tbl:artist #2, select tbl:artist, discard #4 #3, project col:artist/Name #5","select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, select tbl:artist, project tbl:artist #2, discard #4 #3, project col:artist/Name #5",order
What are the names of artists who did not have an exhibition in 2004?,"select tbl:exhibition, comparative #1 #1 equal/2004 col:exhibition/Year, project tbl:artist #2, select tbl:artist, discard #4 #3, project col:artist/Name #5","select tbl:exhibition, comparative #1 #1greatequal//2004 col:exhibition/Year, select tbl:artist, project tbl:artist #2, discard #4 #3, project col:artist/Name #5",greate/less
Show the theme for exhibitions with both records of an attendance below 100 and above 500.,"select tbl:exhibition, project col:exhibition_record/Attendance #1, group #2 #1, comparative #1 #3 less/100, comparative #1 #3 great/500, intersection #1 #4 #5, project col:exhibition/Theme #6","select tbl:exhibition, project col:exhibition/Attendance #1, group #2 #1, comparative #1 #3 less/100, comparative #1 #3 great/500, intersection #1 #4 #5, project col:exhibition/Theme #6",beam
Show the theme for exhibitions with both records of an attendance below 100 and above 500.,"select tbl:exhibition, project col:exhibition_record/Attendance #1, group #2 #1, comparative #1 #3 less/100, comparative #1 #3 great/500, intersection #1 #4 #5, project col:exhibition/Theme #6","select tbl:exhibition, project col:exhibition_record/Attendance #1, group #2 #1, comparative #1 #3 great/500, comparative #1 #3 less/100, intersection #1 #4 #5, project col:exhibition/Theme #6",compara_order
Which themes have had corresponding exhibitions that have had attendance both below 100 and above 500?,"select col:exhibition, project tbl:exhibition #1, project col:exhibition_record/Attendance #2, comparative #1 #3 less/100, comparative #1 #3 great/500, intersection #1 #4 #5","select col:exhibition, project tbl:exhibition #1, project col:exhibition_record/Attendance #2, comparative #1 #3 less/100, comparative #1 #3 great/5000, intersection #1 #4 #5",beam
Which themes have had corresponding exhibitions that have had attendance both below 100 and above 500?,"select col:exhibition, project tbl:exhibition #1, project col:exhibition_record/Attendance #2, comparative #1 #3 less/100, comparative #1 #3 great/500, intersection #1 #4 #5","select col:exhibition, project tbl:exhibition #1, project col:exhibition_record/Attendance #2, comparative #1 #3 great/500, comparative #1 #3 less/100, intersection #1 #4 #5",compara_order
How many exhibitions have a attendance more than 100 or have a ticket price below 10?,"select tbl:exhibition_record, project col:exhibition_record/Attendance #1, comparative #1 #2 less/10, project col:exhibition/Ticket_Price #1, comparative #1 #4 great/100, union #3 #5, aggregate count #6","select tbl:exhibition_record, project col:exhibition_record/Attendance #1, group #2 #1, comparative #1 #3 great/100, project col:exhibition/Ticket_Price #1, comparative #1 #5 less/10, union #4 #6",beam
How many exhibitions have a attendance more than 100 or have a ticket price below 10?,"select tbl:exhibition_record, project col:exhibition_record/Attendance #1, comparative #1 #2 less/10, project col:exhibition/Ticket_Price #1, comparative #1 #4 great/100, union #3 #5, aggregate count #6","select tbl:exhibition_record, project col:exhibition_record/Attendance #1, comparative #1 #4 great/100, project col:exhibition/Ticket_Price #1, comparative #1 #2 less/10, union #3 #5, aggregate count #6",compara_order
Count the number of exhibitions that have had an attendnance of over 100 or a ticket prices under 10.,"select tbl:exhibition_record, project none #1, comparative #1 #2 less/10, project col:exhibition/Ticket_Price #1, comparative #1 #4 great/100, union #3 #5, aggregate count #6","select tbl:exhibition, project none #1, comparative #1 #2 less/10, project col:exhibition/Ticket_Price #1, comparative #1 #4 great/100, union #3 #5, aggregate count #6",beam
Count the number of exhibitions that have had an attendnance of over 100 or a ticket prices under 10.,"select tbl:exhibition_record, project none #1, comparative #1 #2 less/10, project col:exhibition/Ticket_Price #1, comparative #1 #4 great/100, union #3 #5, aggregate count #6","select tbl:exhibition_record, project none #1, comparative #1 #4 great/100, project col:exhibition/Ticket_Price #1, comparative #1 #2 less/10, union #3 #5, aggregate count #6",compara_order
Show all artist names with an average exhibition attendance over 200.,"select col:artist, project tbl:exhibition #1, group #2 #1, comparative #1 #3 great/200","select col:Artist, project tbl:exhibition #1, group #2 #1, comparative #1 #3 great/200",beam
Show all artist names with an average exhibition attendance over 200.,"select col:artist, project tbl:exhibition #1, group #2 #1, comparative #1 #3 great/200","select col:artist, project tbl:exhibition #1, group #2 #1, comparative #1 #3 less/200",greate/less
"Find the id of the item whose title is ""orange"".","select tbl:item, comparative #1 #1 equal/orange col:item/title, project col:item/i_id #2","select tbl:item, comparative #1 #1 equal/orange col:item/title, project col:item/i_ID #2",beam
"Find the id of the item whose title is ""orange"".","select tbl:item, comparative #1 #1 equal/orange col:item/title, project col:item/i_id #2","select tbl:item, comparative #1 #1lessequal//orange col:item/title, project col:item/i_id #2",greate/less
Find the number of reviews.,"select tbl:review, aggregate count #1","select tbl:Review, aggregate count #1",beam
Find the number of reviews.,"select tbl:review, aggregate count #1","select tbl:review, aggregate count #1",greate/less
Find the average and maximum rating of all reviews.,"select tbl:review, project col:review/rating #1, aggregate avg #2, aggregate max #2, union #3 #4","select tbl:Review, project col:Review/rating #1, aggregate avg #2, aggregate max #2, union #3 #4",beam
Find the average and maximum rating of all reviews.,"select tbl:review, project col:review/rating #1, aggregate avg #2, aggregate max #2, union #3 #4","select tbl:review, project col:review/rating #1, aggregate max #2, aggregate avg #2, union #3 #4",order
Find the average and maximum rating of all reviews.,"select tbl:review, project col:review/rating #1, aggregate avg #2, aggregate max #2, union #3 #4","select tbl:review, project col:review/rating #1, aggregate max #2, aggregate avg #2, union #3 #4",greate/less
How many different users wrote some reviews?,"select tbl:review, project col:review/u_id #1, aggregate count #3","select col:review, project col:review/u_id #1, aggregate count #3",beam
How many different users wrote some reviews?,"select tbl:review, project col:review/u_id #1, aggregate count #3","select tbl:review, project col:review/u_id #1, aggregate count #3",greate/less
How many different items were reviewed by some users?,"select col:review, comparative #1 #1 tbl:review, aggregate count #3","select col:review, comparative #1 #1 none, aggregate count #3",beam
How many different items were reviewed by some users?,"select col:review, comparative #1 #1 tbl:review, aggregate count #3","select col:review, comparative #1 #1 tbl:review, aggregate count #3",greate/less
Find the number of items that did not receive any review.,"select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3","select col:review, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3",beam
Find the number of items that did not receive any review.,"select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3","select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3",greate/less
Find the names of users who did not leave any review.,"select tbl:useracct, comparative #1 #1 tbl:review, discard #1 #2, project col:useracct/name #3","select tbl:useracct, comparative #1 #1 tbl:review, discard #1 #2, project col:useracct/nament #3",beam
Find the names of users who did not leave any review.,"select tbl:useracct, comparative #1 #1 tbl:review, discard #1 #2, project col:useracct/name #3","select tbl:useracct, comparative #1 #1 tbl:review, discard #1 #2, project col:useracct/name #3",greate/less
Find the titles of items whose rating is higher than the average review rating of all items.,"select col:item, project col:review/rating #1, aggregate avg #2, comparative #1 #2 great/#3, project col:item/title #4","select tbl:item, project col:review/rating #1, aggregate avg #2, comparative #1 #2 great/#3, project col:it/title #4",beam
Find the titles of items whose rating is higher than the average review rating of all items.,"select col:item, project col:review/rating #1, aggregate avg #2, comparative #1 #2 great/#3, project col:item/title #4","select col:item, project col:item/title #4, aggregate avg #2, comparative #1 #2 great/#3, project col:review/rating #1",order
Find the titles of items whose rating is higher than the average review rating of all items.,"select col:item, project col:review/rating #1, aggregate avg #2, comparative #1 #2 great/#3, project col:item/title #4","select col:item, project col:item/title #4, aggregate avg #2, comparative #1 #2  equal#3, project col:review/rating #1",greate/less
Find the titles of items that received any rating below 5.,"select tbl:item, project col:review/rating #1, comparative #1 #2 less/5, project col:item/title #3","select tbl:item, comparative #1 #1 less/5 col:review/rating, project col:item/title #2",beam
Find the titles of items that received any rating below 5.,"select tbl:item, project col:review/rating #1, comparative #1 #2 less/5, project col:item/title #3","select tbl:item, project col:review/rating #1, comparative #1 #2 lessequal/5, project col:item/title #3",greate/less
Find the titles of items that received both a rating higher than 8 and a rating below 5.,"select tbl:item, project col:review/rating #1, comparative #1 #2 great/8, comparative #1 #2 less/5, intersection #1 #3 #4, project col:item/title #5","select tbl:item, project col:review/rating #1, comparative #1 #2 great/8, comparative #1 #2 less/5, intersection #1 #3 #5, project col:item/title #6",beam
Find the titles of items that received both a rating higher than 8 and a rating below 5.,"select tbl:item, project col:review/rating #1, comparative #1 #2 great/8, comparative #1 #2 less/5, intersection #1 #3 #4, project col:item/title #5","select tbl:item, project col:review/rating #1, comparative #1 #2 less/5, comparative #1 #2 great/8, intersection #1 #3 #4, project col:item/title #5",compara_order
Find the names of items whose rank is higher than 3 and whose average rating is above 5.,"select tbl:item, project col:review/rank #1, project col:review/rating #1, group #3 #1, comparative #1 #2 great/3, comparative #1 #4 great/5, intersection #1 #5 #6, project col:item/title #7","select tbl:item, project col:review/rank #1, project col:review/rating #1, group #3 #1, comparative #1 #4 great/3, comparative #1 #4 great/5, intersection #1 #5 #6, project col:item/title #7",beam
Find the names of items whose rank is higher than 3 and whose average rating is above 5.,"select tbl:item, project col:review/rank #1, project col:review/rating #1, group #3 #1, comparative #1 #2 great/3, comparative #1 #4 great/5, intersection #1 #5 #6, project col:item/title #7","select tbl:item, project col:review/rank #1, project col:review/rating #1, group #3 #1, comparative #1 #4 great/5, comparative #1 #2 great/3, intersection #1 #5 #6, project col:item/title #7",compara_order
Find the name of the item with the lowest average rating.,"select tbl:item, project col:review/rating #1, group #2 #1, superlative #1 #3, project col:item/title #4","select tbl:item, project col:review/rating #1, group #2 #1, superlative #1 #3, project col:item/title #4.",beam
Find the name of the item with the lowest average rating.,"select tbl:item, project col:review/rating #1, group #2 #1, superlative #1 #3, project col:item/title #4","select tbl:item, project col:review/rating #1, superlative #1 #3, group #2 #1, project col:item/title #4",order
Find the name of the item with the lowest average rating.,"select tbl:item, project col:review/rating #1, group #2 #1, superlative #1 #3, project col:item/title #4","select tbl:item, project col:review/rating #1, superlative #1 #3, group #2 #1, project col:item/title #4",greate/less
List the titles of all items in alphabetic order .,"select tbl:item, project col:article/title #1, sort #2 #2 ascending","select col:item, sort #1 #1 ascending",beam
List the titles of all items in alphabetic order .,"select tbl:item, project col:article/title #1, sort #2 #2 ascending","select tbl:item, project col:article/title #1, sort #2 #2 ascending",greate/less
Find the name of the user who gives the most reviews.,"select tbl:useracct, project tbl:review #1, group #2 #1, superlative #1 #3, project col:useracct/name #4","select tbl:useracct, select col:review, group #2 #1, superlative #1 #3, project col:useracct/name #4",beam
Find the name of the user who gives the most reviews.,"select tbl:useracct, project tbl:review #1, group #2 #1, superlative #1 #3, project col:useracct/name #4","select tbl:useracct, project tbl:review #1, project col:useracct/name #4, superlative #1 #3, group #2 #1",order
Find the name of the user who gives the most reviews.,"select tbl:useracct, project tbl:review #1, group #2 #1, superlative #1 #3, project col:useracct/name #4","select tbl:useracct, project tbl:review #1, project col:useracct/name #4, superlative #1 #3, group #2 #1",greate/less
Find the name and id of the good with the highest average rank.,"select tbl:item, project col:review/rank #1, group #2 #1, superlative #1 #3, project col:item/title #4, project col:item/i_id #4, union #5 #6","select tbl:item, project col:review/rank #1, group #2 #1, superlative #1 #3, project col:people/title #4, project col:item/i_id #4, union #5 #6",beam
Find the name and id of the good with the highest average rank.,"select tbl:item, project col:review/rank #1, group #2 #1, superlative #1 #3, project col:item/title #4, project col:item/i_id #4, union #5 #6","select tbl:item, project col:review/rank #1, group #2 #1, union #5 #6, project col:item/title #4, project col:item/i_id #4, superlative #1 #3",order
Find the name and id of the good with the highest average rank.,"select tbl:item, project col:review/rank #1, group #2 #1, superlative #1 #3, project col:item/title #4, project col:item/i_id #4, union #5 #6","select tbl:item, project col:review/rank #1, group #2 #1, union #5 #6, project col:item/title #4, project col:item/i_id #4, superlative #1 #3",greate/less
"For each user, return the name and the average rating of reviews given by them.","select col:review, project col:useracct/name #1, project tbl:review #1, project col:review/rating #3, group #4 #1, union #2 #5","select col:review, project col:useracct/name #1, project tbl:review #1, project col:review/rating #3, group #4 #2, union #2 #5",beam
"For each user, return the name and the average rating of reviews given by them.","select col:review, project col:useracct/name #1, project tbl:review #1, project col:review/rating #3, group #4 #1, union #2 #5","select col:review, project col:useracct/name #1, project tbl:review #1, project col:review/rating #3, union #2 #5, group #4 #1",order
"For each user, return the name and the average rating of reviews given by them.","select col:review, project col:useracct/name #1, project tbl:review #1, project col:review/rating #3, group #4 #1, union #2 #5","select col:review, project col:useracct/name #1, project tbl:review #1, project col:review/rating #3, union #2 #5, group #4 #1",greate/less
"For each user, find their name and the number of reviews written by them.","select col:review, project col:useracct/name #1, project tbl:review #1, group #3 #1, union #2 #4","select col:review, project col:useracct/name #1, project tbl:review #1, group #3 #1, union #2 #4.",beam
"For each user, find their name and the number of reviews written by them.","select col:review, project col:useracct/name #1, project tbl:review #1, group #3 #1, union #2 #4","select col:review, group #3 #1, project tbl:review #1, project col:useracct/name #1, union #2 #4",order
"For each user, find their name and the number of reviews written by them.","select col:review, project col:useracct/name #1, project tbl:review #1, group #3 #1, union #2 #4","select col:review, group #3 #1, project tbl:review #1, project col:useracct/name #1, union #2 #4",greate/less
Find the name of the user who gave the highest rating.,"select tbl:useracct, project col:review/rating #1, superlative #1 #2, project col:useracct/name #3","select tbl:useracct, project col:review/rating #1, superlative #1 #2, project col:useracct/namen #3",beam
Find the name of the user who gave the highest rating.,"select tbl:useracct, project col:review/rating #1, superlative #1 #2, project col:useracct/name #3","select tbl:useracct, project col:review/rating #1, superlative #1 #2, project col:useracct/name #3",greate/less
Find the name of the target user with the lowest trust score.,"select tbl:useracct, project col:trust/trust #1, superlative #1 #2, project col:useracct/name #3","select tbl:useracct, project col:trust/trust #1, superlative #1 #2, project col:useracct/nament #3",beam
Find the name of the target user with the lowest trust score.,"select tbl:useracct, project col:trust/trust #1, superlative #1 #2, project col:useracct/name #3","select tbl:useracct, project col:trust/trust #1, superlative #1 #2, project col:useracct/name #3",greate/less
Find the names of the items that did not receive any review.,"select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, project col:item/title #3","select tbl:article, comparative #1 #1 tbl:review, discard #1 #2, project col:item/title #3",beam
Find the names of the items that did not receive any review.,"select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, project col:item/title #3","select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, project col:item/title #3",greate/less
Find the number of items without any review.,"select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3","select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #4",beam
Find the number of items without any review.,"select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3","select tbl:item, comparative #1 #1 tbl:review, discard #1 #2, aggregate count #3",greate/less
How many players are there?,"select tbl:player, aggregate count #1","select col:player, aggregate count #1",beam
How many players are there?,"select tbl:player, aggregate count #1","select tbl:player, aggregate count #1",greate/less
List the names of players in ascending order of votes.,"select tbl:player, project col:player/Votes #1, project col:player/Player_name #1, sort #3 #2 ascending","select tbl:player, project col:player/Votes #1, project col:player/Name #1, sort #3 #2 ascending",beam
List the names of players in ascending order of votes.,"select tbl:player, project col:player/Votes #1, project col:player/Player_name #1, sort #3 #2 ascending","select tbl:player, project col:player/Votes #1, project col:player/Player_name #1, sort #3 #2 ascending",greate/less
What are the gender and occupation of players?,"select tbl:player, project col:player/Gender #1, project col:player/Occupation #1, union #2 #3","select tbl:Player, project col:Player/gender #1, project col:Player/occupation #1, union #2 #3",beam
What are the gender and occupation of players?,"select tbl:player, project col:player/Gender #1, project col:player/Occupation #1, union #2 #3","select tbl:player, project col:player/Gender #1, project col:player/Occupation #1, union #2 #3",greate/less
"List the name and residence for players whose occupation is not ""Researcher"".","select tbl:player, project col:player/Occupation #1, comparative #1 #2 notequal/Researcher, project col:player/Player_name #3, project col:player/Residence #3, union #4 #5","select tbl:Player, project col:Player/Occupation #1, comparative #1 #2 notequal/Researcher, project col:Player/pName #3, project col:Player/Residence #3, union #4 #5",beam
"List the name and residence for players whose occupation is not ""Researcher"".","select tbl:player, project col:player/Occupation #1, comparative #1 #2 notequal/Researcher, project col:player/Player_name #3, project col:player/Residence #3, union #4 #5","select tbl:player, comparative #1 #2 notequal/Researcher, project col:player/Occupation #1, project col:player/Player_name #3, project col:player/Residence #3, union #4 #5",order
"List the name and residence for players whose occupation is not ""Researcher"".","select tbl:player, project col:player/Occupation #1, comparative #1 #2 notequal/Researcher, project col:player/Player_name #3, project col:player/Residence #3, union #4 #5","select tbl:player, comparative #1 #2 notequal/Researcher, project col:player/Occupation #1, project col:player/Player_name #3, project col:player/Residence #3, union #4 #5",greate/less
