id,source_text,target_text
2170,"What is the id, first name, and last name of the driver who was in the first position for laptime at least twice? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>","select tbl:drivers, comparative #1 #1 comparative:greatequal/2, comparative #1 #2 equal/1, project col:drivers/driverId #3, project col:drivers/forename #3, project col:drivers/surname #3, union #4 #5 #6"
2175,Give me a list of names and years of races that had any driver whose forename is Lewis? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, project tbl:drivers #1, project col:drivers/forename #2, comparative #1 #3 equal/Lewis, project col:races/name #4, project col:races/year #4, union #5 #6"
2176,What are the names and years of all races that had a driver with the last name Lewis? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, project tbl:drivers #1, project col:drivers/forename #2, comparative #1 #3 equal/Lewis, project col:races/name #4, project col:races/year #4, union #5 #6"
2177,Find the forename and surname of drivers whose nationality is German? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:drivers, project col:drivers/nationality #1, comparative #1 #2 equal/German, project col:drivers/forename #3, project col:drivers/surname #3, union #4 #5"
2178,What is the first and last name of all the German drivers? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:drivers, comparative #1 #1 equal/German col:drivers/nationality, project col:drivers/forename #2, project col:drivers/surname #2, union #3 #4"
2179,Find the id and forenames of drivers who participated both the races with name Australian Grand Prix and the races with name Chinese Grand Prix? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select val:races, select val:races, select col:results, intersection #3 #1 #2, project col:results/driverId #4, project col:drivers/forename #5, union #5 #6"
2182,What are the first and last names of all drivers who participated in the Australian Grand Prix but not the Chinese Grand Prix? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, comparative #1 #1 equal/Australian Grand Prix col:races/name, comparative #1 #1 equal/Chinese Grand Prix col:races/name, intersection #1 #2 #3, discard #2 #4, project col:drivers/forename #5, project col:drivers/surname #5, union #6 #7"
2184,What are all the different first names of the drivers who are in position as standing and won? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:driverStandings, project col:driverStandings/position #1, comparative #1 #2 equal/1, comparative #3 #3 equal/1 col:driverStandings/wins"
2191,What are the names of races that were held after 2017 and the circuits were in the country of Spain? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:races, comparative #1 #1 great/2017 col:races/year, project tbl:circuits #1, project col:circuits/country #3, comparative #1 #4 equal/Spain, intersection #1 #2 #5, project col:races/name #6"
2192,What are the names of the races held after 2017 in Spain? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:races, comparative #1 #1 great/2017 col:races/year, comparative #1 #1 equal/Spain col:circuits/country, intersection #1 #2 #3, project col:races/name #4"
2195,Find the distinct driver id and the stop number of all drivers that have a shorter pit stop duration than some drivers in the race with id 841. <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:pitStops, project col:pitStops/raceId #1, project col:pitStops/raceId #2, comparative #1 #3 equal/841, project tbl:pitStops #4, aggregate max #5, project tbl:pitStops #1, comparative #1 #7 less/#6, project col:pitStops/driverId #8, project col:pitStops/stop #8, aggregate count #10, union #9 #11"
2198,What are the different ids and stop durations of all the drivers whose stop lasted longer than the driver in the race with the id 841? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:pitStops, project col:pitStops/driverId #1, comparative #1 #2 equal/841, project col:pitStops/stop #1, project tbl:pitStops #3, comparative #1 #4 great/#5, comparative #2 #1 equal/#6, comparative #4 #1 equal/#6, union #7 #8"
2203,What are the names of races held between 2009 and 2011? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:races, comparative #1 #1 lessequal/2011 col:races/year, comparative #2 #2 greatequal/2009 col:races/year, project col:races/name #3"
2204,What are the names of all races held between 2009 and 2011? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:races, comparative #1 #1 lessequal/2011 col:races/year, comparative #2 #2 greatequal/2009 col:races/year, project col:races/name #3"
2207,"What are the drivers' first, last names and id who had more than 8 pit stops or participated in more than 5 race results? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>","select col:results, project tbl:pitStops #1, group #2 #1, comparative #1 #3 great/8, project tbl:results #1, group #5 #1, comparative #1 #6 great/5, union #4 #7, project col:drivers/forename #8, project col:drivers/surname #8, project col:drivers/driverId #8, union #9 #10 #11"
2209,What are the drivers' last names and id who had 11 pit stops and participated in more than 5 race results? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:drivers, project tbl:pitStops #1, group #2 #1, comparative #1 #3 equal/11, project tbl:results #1, group #5 #1, comparative #1 #6 great/5, intersection #1 #4 #7, project col:drivers/surname #8, project col:drivers/driverId #8, union #9 #10"
2210,What are the last names and ids of all drivers who had 11 pit stops and participated in more than 5 races? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:drivers, project tbl:pitStops #1, group #2 #1, comparative #1 #3 equal/11, project tbl:circuits #1, group #5 #1, comparative #1 #6 great/5, intersection #1 #4 #7, project col:drivers/surname #8, project col:drivers/driverId #8, union #9 #10"
2211,What is the id and last name of the driver who participated in the most races after 2010? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, project col:results/raceId #1, comparative #2 #2 great/2010 col:races/year, group #3 #1, superlative max #1 #4, project col:drivers/driverId #5, project col:drivers/surname #5, union #6 #7"
2213,What are the names of circuits that belong to UK or Malaysia? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:circuits, comparative #1 #1 equal/UK col:circuits/country, comparative #1 #1 equal/Malaysia col:circuits/country, union #2 #3, project col:circuits/name #4"
2214,What are the names of all the circuits that are in the UK or Malaysia? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:circuits, comparative #1 #1 equal/UK col:circuits/country, comparative #1 #1 equal/Malaysia col:circuits/country, union #2 #3, project col:circuits/name #4"
2215,Find the id and location of circuits that belong to France or Belgium? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:circuits, comparative #1 #1 equal/France col:circuits/country, comparative #1 #1 equal/Belgium col:circuits/country, project col:circuits/circuitId #2, project col:circuits/location #2, project col:circuits/circuitId #3, project col:circuits/location #3, union #4 #5, union #6 #7, union #8 #9"
2216,What are the ids and locations of all circuits in France or Belgium? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:circuits, comparative #1 #1 equal/France col:circuits/country, comparative #1 #1 equal/Belgium col:circuits/country, union #2 #3, project col:circuits/circuitId #4, project col:circuits/location #4, union #5 #6"
2217,Find the names of Japanese constructors that have once earned more than 5 points? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:constructorStandings, comparative #1 #1 equal/Japanese col:constructors/nationality, project col:constructorStandings/points #2, comparative #2 #3 great/5, project col:constructors/name #4"
2218,What are the names of all the Japanese constructors that have earned more than 5 points? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select tbl:constructorStandings, comparative #1 #1 equal/Japanese col:constructors/nationality, project col:constructorStandings/points #2, comparative #2 #3 great/5, project col:constructors/name #4"
2221,What is the maximum fastest lap speed in race named 'Monaco Grand Prix' in 2008 ? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, comparative #1 #1 equal/Monaco Grand Prix col:races/name, comparative #2 #2 equal/2008 col:races/year, project col:results/fastestLapSpeed #3, aggregate max #4"
2231,Find the id and surname of the driver who participated the most number of races? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, project tbl:races #1, group #2 #1, superlative max #1 #3, project col:drivers/driverId #4, project col:drivers/surname #4, union #5 #6"
2232,What are the ids and last names of all drivers who participated in the most races? <tbl> circuits races drivers status seasons constructors constructorStandings results driverStandings constructorResults qualifying pitStops lapTimes </tbl> <col> circuitId circuitRef name location country lat lng alt url raceId year round circuitId name date time url driverId driverRef number code forename surname dob nationality url statusId status year url constructorId constructorRef name nationality url constructorStandingsId raceId constructorId points position positionText wins resultId raceId driverId constructorId number grid position positionText positionOrder points laps time milliseconds fastestLap rank fastestLapTime fastestLapSpeed statusId driverStandingsId raceId driverId points position positionText wins constructorResultsId raceId constructorId points status qualifyId raceId driverId constructorId number position q1 q2 q3 raceId driverId stop lap time duration milliseconds raceId driverId lap position time milliseconds </col>,"select col:results, project tbl:races #1, group #2 #1, superlative max #1 #3, project col:drivers/driverId #4, project col:drivers/surname #4, union #5 #6"
2233,How many technicians are there? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, aggregate count #1"
2234,What is the number of technicians? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, aggregate count #1"
2235,List the names of technicians in ascending order of age. <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, project col:technician/Name #1, project col:technician/Age #1, sort #2 #3 ascending"
2236,What are the names of the technicians by ascending order of age? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, project col:technician/Name #1, project col:technician/Age #1, sort #2 #3 ascending"
2237,What are the team and starting year of technicians? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, project col:technician/Team #1, project col:technician/Starting_Year #1, union #2 #3"
2238,What is the team and starting year for each technician? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, project col:technician/Team #1, project col:technician/Starting_Year #1, union #2 #3"
2239,"List the name of technicians whose team is not ""NYY"". <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>","select tbl:technician, project col:technician/Team #1, comparative #1 #2 notequal/NYY, project col:technician/Name #3"
2240,What is the name of the technician whose team is not 'NYY'? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, project col:technician/Team #1, comparative #1 #2 notequal/NYY, project col:technician/Name #3"
2241,Show the name of technicians aged either 36 or 37 <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, comparative #1 #1 equal/36 col:technician/Age, comparative #1 #1 equal/37 col:technician/Age, union #2 #3, project col:technician/Name #4"
2242,What are the names of the technicians aged either 36 or 37? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, comparative #1 #1 equal/36 col:technician/Age, comparative #1 #1 equal/37 col:technician/Age, union #2 #3, project col:technician/Name #4"
2245,Show different teams of technicians and the number of technicians in each team. <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select tbl:technician, project col:technician/Team #1, group #1 #3, union #3 #4"
2246,"For each team, how many technicians are there? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>","select col:technician, select tbl:technician, group #2 #1, union #1 #3"
2247,Please show the team that has the most number of technicians. <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select col:technician, project tbl:technician #1, group #2 #1, superlative max #1 #3"
2248,What are the teams with the most technicians? <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select col:technician, project tbl:technician #1, group #2 #1, superlative max #1 #3"
2249,Show the team that have at least two technicians. <tbl> repair machine technician repair_assignment </tbl> <col> repair_ID name Launch_Date Notes Machine_ID Making_Year Class Team Machine_series value_points quality_rank technician_id Name Team Starting_Year Age technician_id repair_ID Machine_ID </col>,"select col:technician, project tbl:technician #1, group #2 #1, comparative #1 #3 greatequal/2"
